season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP,PLAYER_ID,TEAM_ID
2018,DeAndre Liggins,30.0,NOP,58,34,24,0.586,723.5583333333333,40,106,19,53,2,5,7,68,75,48,37,14,20,101,0.467,0.5,0.04716981132075472,0.01,0.1,0.054,0.091,,0.079,,,,,,,,202732,1610612740
2018,DeAndre' Bembry,23.0,ATL,26,8,18,0.308,455.21666666666664,53,128,11,30,19,33,8,64,72,49,21,12,47,136,0.477,0.234375,0.2578125,0.017,0.142,0.079,0.166,,0.179,,,,,,,,1627761,1610612737
2018,DeMar DeRozan,28.0,TOR,80,57,23,0.713,2711.721666666667,645,1413,89,287,461,559,59,256,315,417,85,22,175,1840,0.555,0.20311394196744514,0.39561217268223636,0.021,0.091,0.057,0.245,,0.286,,,,,,,,201942,1610612761
2018,DeMarcus Cousins,27.0,NOP,48,27,21,0.563,1737.07,406,864,104,294,294,394,105,512,617,257,79,76,242,1210,0.583,0.3402777777777778,0.45601851851851855,0.065,0.292,0.183,0.241,,0.318,,,,,,,,202326,1610612740
2018,DeMarre Carroll,31.0,BKN,73,25,48,0.342,2179.7166666666667,325,785,145,391,188,246,105,374,479,147,59,30,103,983,0.55,0.4980891719745223,0.31337579617834393,0.045,0.165,0.104,0.106,,0.194,,,,,,,,201960,1610612751
2018,Dejounte Murray,21.0,SAS,81,47,34,0.58,1742.925,270,609,9,34,105,148,110,349,459,231,97,31,134,654,0.485,0.05582922824302135,0.24302134646962234,0.061,0.196,0.128,0.202,,0.201,,,,,,,,1627749,1610612759
2018,Delon Wright,26.0,TOR,69,49,20,0.71,1432.7233333333334,201,432,56,153,97,117,45,153,198,200,72,33,78,555,0.574,0.3541666666666667,0.2708333333333333,0.031,0.107,0.069,0.202,,0.169,,,,,,,,1626153,1610612761
2018,Demetrius Jackson,23.0,PHI,15,12,3,0.8,79.95,7,18,1,7,1,2,5,7,12,9,5,1,10,16,0.424,0.3888888888888889,0.1111111111111111,0.06,0.086,0.073,0.188,,0.156,,,,,,,,1627743,1610612755
2018,Dennis Schröder,24.0,ATL,67,21,46,0.313,2077.9216666666666,500,1146,76,262,225,265,44,164,208,417,72,6,183,1301,0.515,0.2286212914485166,0.231239092495637,0.021,0.081,0.05,0.352,,0.299,,,,,,,,203471,1610612737
2018,Dennis Smith Jr.,20.0,DAL,69,22,47,0.319,2049.105,404,1024,106,339,134,193,50,210,260,358,71,18,194,1048,0.473,0.3310546875,0.1884765625,0.023,0.106,0.063,0.301,,0.28,,,,,,,,1628372,1610612742
2018,Denzel Valentine,24.0,CHI,77,26,51,0.338,2095.141666666667,301,721,143,370,38,51,48,345,393,244,65,11,99,783,0.527,0.5131761442441054,0.07073509015256588,0.021,0.168,0.09,0.178,,0.17,,,,,,,,1627756,1610612741
2018,Derrick Favors,26.0,UTA,77,46,31,0.597,2153.4016666666666,395,702,14,63,140,215,198,354,552,102,54,82,88,944,0.593,0.08974358974358974,0.30626780626780625,0.097,0.167,0.133,0.075,,0.181,,,,,,,,202324,1610612762
2018,Derrick Jones Jr.,21.0,MIA,20,9,11,0.45,245.17166666666665,21,53,3,18,16,24,21,17,38,9,4,13,7,61,0.48,0.33962264150943394,0.4528301886792453,0.077,0.066,0.072,0.056,,0.124,,,,,,,,1627884,1610612748
2018,Derrick Rose,29.0,MIN,25,15,10,0.6,419.24,81,186,7,30,40,46,13,22,35,37,7,4,35,209,0.507,0.16129032258064516,0.24731182795698925,0.033,0.053,0.043,0.136,,0.245,,,,,,,,201565,1610612750
2018,Derrick Walton Jr.,23.0,MIA,16,8,8,0.5,147.21333333333334,8,25,7,17,6,6,2,14,16,16,7,3,2,29,0.525,0.68,0.24,0.014,0.095,0.056,0.17,,0.092,,,,,,,,1628476,1610612748
2018,Derrick White,23.0,SAS,17,7,10,0.412,138.72833333333332,16,33,8,13,14,20,5,21,26,9,4,3,6,54,0.646,0.3939393939393939,0.6060606060606061,0.034,0.128,0.084,0.098,,0.146,,,,,,,,1628401,1610612759
2018,Derrick Williams,27.0,LAL,2,1,1,0.5,8.525,1,4,0,2,0,0,0,1,1,0,0,0,0,2,0.25,0.5,0.0,0.0,0.143,0.05,0.0,,0.167,,,,,,,,202682,1610612747
2018,Devin Booker,21.0,PHX,54,16,38,0.296,1865.2966666666666,455,1054,147,384,289,329,26,218,244,253,47,14,194,1346,0.561,0.36432637571157495,0.31214421252371916,0.013,0.112,0.062,0.233,,0.301,,,,,,,,1626164,1610612756
2018,Devin Harris,35.0,DEN,71,33,38,0.465,1339.5216666666668,187,454,79,227,142,170,12,115,127,152,47,12,76,595,0.563,0.5,0.3744493392070485,0.009,0.085,0.047,0.165,,0.194,,,,,,,,2734,1610612743
2018,Devin Robinson,23.0,WAS,1,0,1,0.0,13.213333333333333,1,3,0,0,0,0,2,3,5,0,1,0,0,2,0.333,0.0,0.0,0.095,0.25,0.152,0.0,,0.083,,,,,,,,1628421,1610612764
2018,Dewayne Dedmon,28.0,ATL,62,18,44,0.29,1542.2733333333333,250,477,50,141,67,86,100,389,489,90,40,51,85,617,0.599,0.29559748427672955,0.18029350104821804,0.065,0.249,0.158,0.09,,0.166,,,,,,,,203473,1610612737
2018,Deyonta Davis,21.0,MEM,62,16,46,0.258,942.6733333333333,161,265,0,0,38,57,75,175,250,40,15,39,32,360,0.621,0.0,0.21509433962264152,0.078,0.182,0.13,0.068,,0.144,,,,,,,,1627738,1610612763
