season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP
2015,Corey Brewer,28.0,MIN,,,,,680.0,,225.0,,,,78.0,,,,78.0,54.0,4.0,50.0,251.0,0.484,0.182,0.347,0.052,0.108,0.079,0.186,0.162,0.201,13.8,0.4,0.0,0.4,0.028,-0.1,0.3
2015,Corey Brewer,28.0,HOU,,,,,1407.0,,580.0,,,,148.0,,,,95.0,60.0,15.0,81.0,666.0,0.516,0.334,0.255,0.038,0.121,0.08,0.115,0.1119999999999999,0.2239999999999999,14.0,2.7,1.0,1.6,0.091,-1.6,0.2
2015,Aaron Brooks,30.0,CHI,,,,,1885.0,,817.0,,,,174.0,,,,261.0,54.0,15.0,157.0,954.0,0.534,0.383,0.213,0.019,0.075,0.048,0.242,0.149,0.25,14.4,3.3,1.7,1.5,0.083,-1.4,0.3
2015,Jabari Brown,22.0,LAL,,,,,568.0,,170.0,,,,85.0,,,,40.0,12.0,2.0,32.0,227.0,0.547,0.365,0.5,0.006,0.067,0.035,0.11,0.134,0.188,11.0,0.4,0.4,0.0,0.033,-3.8,-0.3
2015,Lorenzo Brown,24.0,MIN,,,,,549.0,,122.0,,,,19.0,,,,90.0,28.0,6.0,30.0,122.0,0.468,0.23,0.156,0.0279999999999999,0.12,0.073,0.249,0.187,0.129,11.0,0.3,0.1,0.2,0.025,-2.6,-0.1
2015,Markel Brown,23.0,BKN,,,,,781.0,,210.0,,,,57.0,,,,39.0,31.0,12.0,27.0,216.0,0.459,0.305,0.271,0.023,0.13,0.077,0.074,0.103,0.153,9.1,0.5,-0.2,0.7,0.031,-2.7,-0.1
2015,Shannon Brown,29.0,MIA,,,,,89.0,,19.0,,,,4.0,,,,3.0,4.0,0.0,4.0,20.0,0.482,0.368,0.211,0.0,0.013,0.0069999999999999,0.052,0.162,0.131,4.4,0.0,-0.1,0.0,-0.016,-6.1,-0.1
2015,Kobe Bryant,36.0,LAL,,,,,1207.0,,713.0,,,,241.0,,,,197.0,47.0,7.0,128.0,782.0,0.477,0.258,0.338,0.023,0.165,0.091,0.299,0.135,0.349,17.6,0.2,-0.4,0.6,0.006,0.3,0.7
2015,Chase Budinger,26.0,MIN,,,,,1286.0,,390.0,,,,81.0,,,,64.0,44.0,10.0,49.0,457.0,0.537,0.367,0.208,0.0279999999999999,0.151,0.088,0.08,0.103,0.163,12.2,1.3,1.1,0.2,0.049,-2.8,-0.3
2015,Reggie Bullock,23.0,LAC,,,,,263.0,,54.0,,,,5.0,,,,6.0,9.0,2.0,6.0,65.0,0.578,0.722,0.093,0.0,0.168,0.086,0.031,0.096,0.107,8.8,0.4,0.1,0.3,0.074,-2.1,0.0
2015,Reggie Bullock,23.0,PHX,,,,,75.0,,16.0,,,,4.0,,,,2.0,1.0,2.0,2.0,4.0,0.113,0.438,0.25,0.0139999999999999,0.133,0.073,0.034,0.1009999999999999,0.1159999999999999,-3.1,-0.3,-0.3,0.0,-0.173,-10.8,-0.2
2015,Trey Burke,22.0,UTA,,,,,2288.0,,1005.0,,,,145.0,,,,328.0,65.0,15.0,124.0,973.0,0.455,0.388,0.144,0.016,0.087,0.052,0.25,0.104,0.239,12.6,2.4,0.8,1.6,0.05,-1.9,0.1
2015,Alec Burks,23.0,UTA,,,,,899.0,,300.0,,,,129.0,,,,82.0,17.0,5.0,52.0,374.0,0.524,0.227,0.43,0.025,0.121,0.073,0.152,0.127,0.208,13.0,1.7,1.1,0.6,0.089,-1.6,0.1
